agent1,agent2,agent4,agent6,agent10,agent13
0,0,0,0,0,0
agent1,agent2,agent4,agent6,agent10,agent13
0,0,0,0,0,0
agent1,agent2,agent4,agent6,agent10,agent13
0,0,0,0,0,0
agent1,agent2,agent4,agent6,agent10,agent13
0,0,0,0,0,0
agent1,agent2,agent4,agent6,agent10,agent13
0,0,0,0,0,0
agent1,agent2,agent4,agent6,agent10,agent13
0,0,0,0,1,0
agent1,agent2,agent4,agent6,agent10,agent13
0,0,0,0,0,0
agent1,agent2,agent4,agent6,agent10,agent13
0,0,0,0,0,0
agent1,agent2,agent4,agent6,agent10,agent13
0,0,0,0,0,0
agent1,agent2,agent4,agent6,agent10,agent13
0,0,0,0,0,0
